scheduled team,match ratio,stats team,corrected stats team
UL Monroe Warhawks,59,LA-MONROE,
UMass Minutemen,71,MASS-MARITIME,MASSACHUSETTS
UNLV Rebels,52,UNC-PEMBROKE,NEVADA-LAS VEGAS
USC Trojans,60,ST.THOMAS,SOUTHERN CALIFORNIA
UT Martin Skyhawks,56,ST.MARY-KANSAS,TENNESSEE-MARTIN
UTEP Miners,59,BETHEL-MINNESOTA,TEXAS-EL PASO
UTSA Roadrunners,48,ALDERSON-BROADDUS,
Utah State Aggies,74,UTAH STATE,
Utah Utes,74,UTAH STATE,UTAH
VMI Keydets,50,M.I.T.,VIRGINIA MILITARY INSTITUTE
Valdosta State Blazers,78,VALDOSTA STATE,
Vanderbilt Commodores,65,VANDERBILT,
Villanova Wildcats,67,VILLANOVA,
Virginia Cavaliers,71,VIRGINIA-WISE,VIRGINIA
Virginia Tech Hokies,79,VIRGINIA TECH,
Wagner Seahawks,57,WAGNER,
Wake Forest Demon Deacons,61,WAKE FOREST,
Washington Huskies,76,WASHINGTON STATE,WASHINGTON
Washington State Cougars,80,WASHINGTON STATE,
Weber State Wildcats,71,WEBER STATE,
West Virginia Mountaineers,76,WEST VIRGINIA STATE,WEST VIRGINIA
Western Carolina Catamounts,74,WESTERN CAROLINA,
Western Illinois Leathernecks,71,WESTERN ILLINOIS,
Western Kentucky Hilltoppers,73,WESTERN KENTUCKY,
Western Michigan Broncos,80,WESTERN MICHIGAN,
William & Mary Tribe,82,WILLIAM & MARY,
Wisconsin Badgers,72,WISCONSIN-La CROSSE,WISCONSIN
Wofford Terriers,61,WOFFORD,
Wyoming Cowboys,64,WYOMING,
Youngstown State Penguins,78,YOUNGSTOWN STATE,
