Index,BPI,teamrankings,scheduled,abbr team,abbr,class
343,CHAPMAN,?,?,?,?,DIVISION 3
344,CHICAGO,?,?,?,?,DIVISION 3
345,CHRISTOPHER NEWPORT,?,?,?,?,DIVISION 3
346,CLAREMONT-MUDD- SCRIPPS,?,?,?,?,DIVISION 3
347,COAST GUARD,?,?,?,?,DIVISION 3
348,COE,?,?,?,?,DIVISION 3
349,COLBY,?,?,Cal Poly,CP,DIVISION 3
350,CONCORDIA- CHICAGO,?,?,?,?,DIVISION 3
351,CONCORDIA WISC.,?,?,?,?,DIVISION 3
352,CONCORDIA-MOORHEAD,?,?,?,?,DIVISION 3
353,CORNELL-IA.,?,?,?,?,DIVISION 3
354,CORTLAND STATE,?,?,?,?,DIVISION 3
355,CROWN,?,?,?,?,DIVISION 3
356,CURRY,?,?,ECU,ECU,DIVISION 3
357,DARTMOUTH-MASS.,?,?,?,?,DIVISION 3
358,DEAN,?,?,?,?,DIVISION 3
359,DEFIANCE,?,?,?,?,DIVISION 3
360,DELAWARE VALLEY,?,?,?,?,DIVISION 3
361,DENISON,?,?,?,?,DIVISION 3
362,DEPAUW,?,?,?,?,DIVISION 3
363,DICKINSON,?,?,?,?,DIVISION 3
364,DUBUQUE,?,?,?,?,DIVISION 3
365,EARLHAM,?,?,?,?,DIVISION 3
366,EAST TEXAS BAPTIST,?,?,?,?,DIVISION 3
367,ELMHURST,?,?,?,?,DIVISION 3
368,EMORY & HENRY,?,?,?,?,DIVISION 3
369,ENDICOTT,?,?,?,?,DIVISION 3
370,EUREKA,?,?,?,?,DIVISION 3
371,F.D.U.- FLORHAM PARK,?,?,?,?,DIVISION 3
372,FERRUM COLLEGE,?,?,?,?,DIVISION 3
373,FINLANDIA,?,?,?,?,DIVISION 3
374,FITCHBURG,?,?,FIU,FIU,DIVISION 3
375,FRAMINGHAM STATE,?,?,Grambling State,GRAM,DIVISION 3
376,FRANKLIN & MARSHALL,?,?,?,?,DIVISION 3
377,FRANKLIN COLLEGE,?,?,?,?,DIVISION 3
378,FROSTBURG,?,?,?,?,DIVISION 3
379,GALLAUDET,?,?,?,?,DIVISION 3
380,GENEVA,?,?,?,?,DIVISION 3
381,GEORGE FOX,?,?,?,?,DIVISION 3
382,GETTYSBURG,?,?,ETSU,ETSU,DIVISION 3
383,GREENSBORO COLLEGE,?,?,?,?,DIVISION 3
384,GREENVILLE,?,?,?,?,DIVISION 3
