Index,School,Ranking,Class
204,LIVINGSTONE COLLEGE,1.5,DIVISION 2
205,LOCK HAVEN,7.2,DIVISION 2
206,MARS HILL,31.2,DIVISION 2
207,MARY,17.9,DIVISION 2
208,McKENDREE,31.7,DIVISION 2
209,MERCYHURST,32.1,DIVISION 2
210,MESA STATE-COLORADO,34.9,DIVISION 2
211,MICHIGAN TECH,42.9,DIVISION 2
212,MIDWESTERN STATE,49.6,DIVISION 2
213,MILES COLLEGE,27.0,DIVISION 2
214,MILLERSVILLE,8.6,DIVISION 2
215,MINNESOTA STATE- MANKATO,78.2,DIVISION 2
216,MINOT STATE,22.9,DIVISION 2
217,MISSOURI S&T,45.9,DIVISION 2
218,MISSOURI SOUTHERN ,31.5,DIVISION 2
219,MISSOURI WESTERN,61.6,DIVISION 2
220,MOORHEAD ST.-MINNESOTA,37.1,DIVISION 2
221,MOREHOUSE COLLEGE,19.7,DIVISION 2
222,NEBRASKA KEARNEY,51.4,DIVISION 2
223,NEW HAVEN,34.4,DIVISION 2
224,NEW MEXICO HIGHLANDS,14.4,DIVISION 2
225,NEWBERRY,36.1,DIVISION 2
226,NO. EAST OKLAHOMA ST.,15.5,DIVISION 2
227,NO.WEST OKLAHOMA,31.2,DIVISION 2
228,NORTH GREENVILLE-S.C.,40.0,DIVISION 2
229,NORTHERN MICHIGAN,34.6,DIVISION 2
230,NORTHERN STATE - SD,33.7,DIVISION 2
231,NORTHWEST MISSOURI ST.,76.3,DIVISION 2
232,NORTHWOOD,34.7,DIVISION 2
233,NOTRE DAME - OHIO,53.7,DIVISION 2
234,OHIO DOMINICAN,48.8,DIVISION 2
235,OKLAHOMA BAPTIST,35.1,DIVISION 2
236,OUACHITA BAPTIST,46.4,DIVISION 2
237,PACE,28.0,DIVISION 2
238,PITTSBURG STATE,65.0,DIVISION 2
239,QUINCY UNIVERSITY,23.9,DIVISION 2
240,SAGINAW VALLEY STATE,51.9,DIVISION 2
241,SAINT CLOUD STATE,42.7,DIVISION 2
242,SAVANNAH STATE,38.8,DIVISION 2
243,SETON HILL,16.0,DIVISION 2
244,SHAW,17.0,DIVISION 2
245,SHEPHERD COLLEGE,43.9,DIVISION 2
246,SHIPPENSBURG,33.2,DIVISION 2
247,SHORTER,19.3,DIVISION 2
248,SIMON FRASER,7.7,DIVISION 2
249,SIOUX FALLS,58.3,DIVISION 2
250,SLIPPERY ROCK,62.1,DIVISION 2
251,SO. EAST. OKLAHOMA ST.,27.8,DIVISION 2
252,SO. WEST. OKLAHOMA ST.,26.1,DIVISION 2
253,SO.WESTERN STATE-MINNE.,32.4,DIVISION 2
254,SOUTH DAKOTA TECH,34.6,DIVISION 2
255,SOUTHERN ARKANSAS,43.3,DIVISION 2
256,SOUTHERN CONNECTICUT,20.0,DIVISION 2
257,SOUTHERN NAZARENE,19.0,DIVISION 2
258,SOUTHWEST BAPTIST,18.5,DIVISION 2
259,ST. AUGUSTINE,-7.2,DIVISION 2
260,ST.ANSELM,3.7,DIVISION 2
261,STONEHILL COLLEGE,28.6,DIVISION 2
262,TAMU - COMMERCE,59.7,DIVISION 2
