abbr team,match ratio,stats team,corrected stats team,abbreviation,corrected abbr
Stephen F. Austin,74,S.F.AUSTIN,,SFA,
Stetson,100,STETSON,,STET,
Stony Brook,100,STONY BROOK,,STON,
Syracuse,100,SYRACUSE,,SYR,
TCU,55,TUSCULUM,TEXAS CHRISTIAN,TCU,
Temple,100,TEMPLE,,TEM,
Tennessee,100,TENNESSEE,,TENN,
Tennessee State,100,TENNESSEE STATE,,TNST,
Tennessee Tech,100,TENNESSEE TECH,,TNTC,
Tennessee-Martin,100,TENNESSEE-MARTIN,,UTM,
Texas,100,TEXAS,,TEX,
Texas A&M,100,TEXAS A&M,,TAMU,TA&M
Texas Southern,100,TEXAS SOUTHERN,,TXSO,
Texas State,76,TEXAS TECH,TEXAS STATE-SAN MARCOS,TXST,
Texas Tech,100,TEXAS TECH,,TTU,
The Citadel,100,THE CITADEL,,CIT,
Toledo,100,TOLEDO,,TOL,
Towson,100,TOWSON,,TOWS,
Troy,57,TROY STATE,,TROY,
Tulane,100,TULANE,,TULN,
Tulsa,100,TULSA,,TLSA,
UC Davis,82,CAL-DAVIS,,UCD,
UCF,50,TUFTS,CENTRAL FLORIDA,UCF,
UCLA,73,U.C.L.A.,,UCLA,
UConn,60,CROWN,CONNECTICUT,CONN,UCONN
UMass,55,FURMAN,MASSACHUSETTS,UMASS,
UNLV,50,BUCKNELL,NEVADA-LAS VEGAS,UNLV,
UPenn,55,KENYON,PENNSYLVANIA,PENN,
USC,55,TUSCULUM,SOUTHERN CALIFORNIA,USC,
UTEP,60,BUTLER,TEXAS-EL PASO,UTEP,
UTSA,75,UTAH,TEXAS-SAN ANTONIO,UTSA,
Utah,100,UTAH,,UTAH,
Utah State,100,UTAH STATE,,USU,
VMI,50,AVILA,VIRGINIA MILITARY INSTITUTE,VMI,
Valparaiso,100,VALPARAISO,,VALP,
Vanderbilt,100,VANDERBILT,,VAN,
Villanova,100,VILLANOVA,,NOVA,
Virginia,100,VIRGINIA,,UVA,
Virginia Tech,100,VIRGINIA TECH,,VT,
WKU,44,WILKES,WESTERN KENTUCKY,WKU,
Wagner,100,WAGNER,,WAG,
Wake Forest,100,WAKE FOREST,,WAKE,
Washington,100,WASHINGTON,,WASH,
Washington State,100,WASHINGTON STATE,,WSU,
Weber State,100,WEBER STATE,,WEB,
West Virginia,100,WEST VIRGINIA,,WVU,
Western Carolina,100,WESTERN CAROLINA,,WCU,
Western Illinois,100,WESTERN ILLINOIS,,WIU,
Western Michigan,100,WESTERN MICHIGAN,,WMU,
William & Mary,100,WILLIAM & MARY,,W&M,
Wisconsin,100,WISCONSIN,,WIS,
Wofford,100,WOFFORD,,WOF,
Wyoming,100,WYOMING,,WYO,
Yale,100,YALE,,YALE,
Youngstown State,100,YOUNGSTOWN STATE,,YSU,
