Index,BPI,teamrankings,scheduled,abbr team,abbr,class
302,ALLEGHENY,?,?,?,?,DIVISION 3
303,ALMA,?,?,?,?,DIVISION 3
304,ALVERNIA,?,?,?,?,DIVISION 3
305,AMHERST,?,?,?,?,DIVISION 3
306,ANDERSON,?,?,?,?,DIVISION 3
307,ANNA MARIA,?,?,?,?,DIVISION 3
308,AUGSBURG,?,?,?,?,DIVISION 3
309,AUGUSTANA-ILL.,?,?,?,?,DIVISION 3
310,AURORA,?,?,?,?,DIVISION 3
311,AUSTIN COLLEGE,?,?,?,?,DIVISION 3
312,AVERETT COLLEGE,?,?,?,?,DIVISION 3
313,BALDWIN-WALLACE,?,?,?,?,DIVISION 3
314,BATES,?,?,?,?,DIVISION 3
315,BECKER,?,?,?,?,DIVISION 3
316,BELHAVEN,?,?,?,?,DIVISION 3
317,BELOIT,?,?,?,?,DIVISION 3
318,BENEDICTINE - ILL,?,?,?,?,DIVISION 3
319,BERRY,?,?,?,?,DIVISION 3
320,BETHANY-WEST VIRGINIA,?,?,?,?,DIVISION 3
321,BETHEL-MINNESOTA,?,?,?,?,DIVISION 3
322,BIRMINGHAM-SOUTHERN,?,?,?,?,DIVISION 3
323,BLUFFTON,?,?,?,?,DIVISION 3
324,BOWDOIN,?,?,?,?,DIVISION 3
325,BREVARD -NC,?,?,?,?,DIVISION 3
326,BRIDGEWATER-MASS.,?,?,?,?,DIVISION 3
327,BRIDGEWATER-VA.,?,?,?,?,DIVISION 3
328,BROCKPORT STATE,?,?,?,?,DIVISION 3
329,BUENA VISTA,?,?,?,?,DIVISION 3
330,BUFFALO STATE,?,?,?,?,DIVISION 3
331,CALIFORNIA LUTHERAN,?,?,?,?,DIVISION 3
332,CAPITAL,?,?,?,?,DIVISION 3
333,CARLETON,?,?,?,?,DIVISION 3
334,CARNEGIE MELLON,?,?,?,?,DIVISION 3
335,CARROLL-WISCONSIN,?,?,?,?,DIVISION 3
336,CARTHAGE,?,?,?,?,DIVISION 3
337,CASE WESTERN,?,?,?,?,DIVISION 3
338,CASTLETON STATE,?,?,?,?,DIVISION 3
